mandat_id,mandature_id,personne_id,nom,prenom,role,from_date,to_date,source_personne,source
,gouv_painleve_3,,Bénazet,Paul,Sous-secrétaire d’État à l'Enseignement technique,,,,https://fr.wikipedia.org/wiki/Gouvernement_Paul_Painlevé_(3)
,gouv_barthou,,Bérard,Léon,Sous-secrétaire d’État aux Beaux-Arts,,,,https://fr.wikipedia.org/wiki/Gouvernement_Louis_Barthou
,gouv_briand_3,,Bérard,Léon,Sous-secrétaire d’État aux Beaux-Arts,,,,https://fr.wikipedia.org/wiki/Gouvernement_Aristide_Briand_(3)
,gouv_briand_4,,Bérard,Léon,Sous-secrétaire d’État aux Beaux-Arts,,,,https://fr.wikipedia.org/wiki/Gouvernement_Aristide_Briand_(4)
,gouv_briand_7,,Bérard,Léon,Ministre de l’Instruction publique et des Beaux-Arts,,,,https://fr.wikipedia.org/wiki/Gouvernement_Aristide_Briand_(7)
,gouv_clemenceau_2,,Bérard,Léon,Sous-secrétaire d'État aux Beaux-Arts,,,,https://fr.wikipedia.org/wiki/Gouvernement_Georges_Clemenceau_(2)
,gouv_combes,,Bérard,Alexandre,Sous-secrétaire d'État aux Postes et Télégraphes,,,,https://fr.wikipedia.org/wiki/Gouvernement_Émile_Combes
,gouv_laval_1,,Bérard,Léon,Ministre de la Justice,,,,https://fr.wikipedia.org/wiki/Gouvernement_Pierre_Laval_(1)
,gouv_laval_2,,Bérard,Léon,Ministre de la Justice,,,,https://fr.wikipedia.org/wiki/Gouvernement_Pierre_Laval_(2)
,gouv_laval_3,,Bérard,Léon,Ministre de la Justice,,,,https://fr.wikipedia.org/wiki/Gouvernement_Pierre_Laval_(3)
,gouv_laval_4,,Bérard,Léon,Ministre de la Justice,,,,https://fr.wikipedia.org/wiki/Gouvernement_Pierre_Laval_(4)
,gouv_poincare_1,,Bérard,Léon,Secrétaire d'État aux Beaux-Arts,,,,https://fr.wikipedia.org/wiki/Gouvernement_Raymond_Poincaré_(1)
,gouv_poincare_2,,Bérard,Léon,Ministre de l’Instruction publique et des Beaux-Arts,,,,https://fr.wikipedia.org/wiki/Gouvernement_Raymond_Poincaré_(2)
,gouv_rouvier_2,,Bérard,Alexandre,Sous-secrétaire d'État aux Postes et Télégraphes,,,,https://fr.wikipedia.org/wiki/Gouvernement_Maurice_Rouvier_(2)
,gouv_rouvier_3,,Bérard,Alexandre,Sous-secrétaire d'État aux Postes et Télégraphes,,,,https://fr.wikipedia.org/wiki/Gouvernement_Maurice_Rouvier_(3)
